Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Pachyatyar sahitya : sharsta aru drasta,9789384733674,"Sarma, Upendranath","Guwahati, Publication Board Assam, 2016",2nd ed,NA,NA,241 p,Assamese; European literature; literature
Gadyashilpi Dr. Bhupen Hazarika : sharsta aru drasta,9789388645997,"Thakur, Prapti","Guwahati, Panchajanya Books, 2020",2nd ed,NA,NA,550 p,Assamese; Literature
Margaret aru ekhon piano,NA,"Sikdar, Jyotish","Guwahati, Bandhav, 2018",NA,NA,NA,216 p,"Assamese fiction; Short stories, Assamese"
Parbantarar padya,9789390043040,"Bormudoi, Ananda","Guwahati, Assam Publication Company, 2020",NA,NA,NA,184 p,Assamese; Criical studies; Poetry
Matsyagandha,8176650552,"Borgohain, Homen","Guwahati, Student's Stores, 2017",NA,NA,NA,88 p,Assamese; Fiction; Literature; Novel
Taranga,8186494723,"Saikia, Bhabendra Nath","Guwahati, Student's Stores, 2018",NA,NA,NA,96 p,Assamese; Fiction; Literature; Novel
Navakanta Baruar gaan : din rati ritu aru manar khabar,9788173313844,Author :,"Guwahati, LBS, 2018",2nd ed,NA,NA,144 p,Assamese literature; Assamese; Music; Songs
Rabindranathar emuthi galpa : din rati ritu aru manar khabar,9789384733599,"Tagore, Rabindranath; Bharali, Gita","Guwahati, Publicaion Board Assam, 2020",2nd ed,NA,NA,144 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
Rongor aaror rong : din rati ritu aru manar khabar,9789384733599,"Das, Anima","Guwahati, Destini, 2020",2nd ed,NA,NA,109 p,Assamese; Literature
Bhasha aru sahitya : din rati ritu aru manar khabar,9789384733599,"Goswami, Upendranath","Guwahati, Mani Manik Prakash, 2018",8th ed,NA,NA,212 p,Assamese literature
Asomiya bhasa sahitya sanskriti : din rati ritu aru manar khabar,9789352655090,"Mili, Ratneswar; Sarma, Momi","Guwahati, Olympia Prakashan, 2016",8th ed,NA,NA,524 p,Assamese literature
"Jiban, bijjnan aru upalobdhi : (life, science and perception)",9789382931843,"Saikia, Choudhury Nath","Jorhat, Bedakantha, 2019",8th ed,NA,NA,208p,Assamese; Assamese
"Abhijojan fakara jojana : (life, science and perception)",8173313008,"Saikia, Anandi","Guwahati, Lawyer's Book Stall, 2015",8th ed,NA,NA,128 p,Assamese; Linguistics
"Utso manuh : (life, science and perception)",8173313008,"Borkataky, Anju","Guwahati, Bhabani print and publications, 2011",8th ed,NA,NA,106p,Assamese; Literature
"Manav prajati parichoi : (life, science and perception)",8173313008,"Das, Bhubanmohan; Das, Renuka","Guwahati, Gauhati University Press, 2016",8th ed,NA,NA,118p,Assamese; Literature
"Upanyash Adhyayan : (life, science and perception)",9788120288058,"Devi, Jahnavi","Guwahati, Jagaran Sahitya Prakashan, 2018",8th ed,NA,NA,222 p,Assamese literature
"Doron ful : (life, science and perception)",818649426X,"Tulshi, Anubhav","Guwahati, Students' Stores, 1996",8th ed,NA,NA,80 p,Assamese literature; Poetry
"Kramavikasat asomiya kathasailee : (life, science and perception)",818649426X,"Kotoky, Prafulla","Guwahati, Bina Library, 2018",8th ed,NA,NA,136 p,Assamese literature; Prose
"Chah janagosthir kriti purushsakal : (life, science and perception)",818649426X,"Kurmi, Sushil","Guwahati, Asom Prakashan Parishad, 2013",8th ed,NA,NA,209 p,Assamese; Literature
"Biparitarthak sabdar abhidhan : (life, science and perception)",9789382149521,"Goswami, Basanta Kumar","Guwahati, Bani Mandir, 2013",8th ed,NA,NA,105 p,Assamese language; Assamese language; Assamese language
"Aadharxila : (life, science and perception)",9788176656658,"Malik, Sayed Abdul","Guwahati, Students stores, 2019",8th ed,NA,NA,439 p,Assamese; Literature
"Darangi Lok-Sahityar Ruprekha : (life, science and perception)",9788176656658,"Saharia, Kanak Chandra","Guwahati, Dr. Rafiquz Zaman, 2007",8th ed,NA,NA,387 p,Assamese; Assamese
"Sahitya aru itihash : (life, science and perception)",9788176656658,"Hazarika, Atulchandra","Guwahati, Assam Prakashan Parishad, 2004",2nd ed,NA,NA,251p,Assamese; Assamese; Speeches
"Alap agote aami ki katha pati asilu : (life, science and perception)",8176651907,"Phukan, Nilmani","Guwahati, Students' stores, 2003",2nd ed,NA,NA,59 p,Assamese; Assamese; Poetry
"Chitra bithika : (life, science and perception)",9788176653071,"Sarma, Gobinda Prasad","Guwahati, Students' stores, 2007",2nd ed,NA,NA,159 p,Assamese; Short stories
"Upanyas Adhyayan : (life, science and perception)",9788120288058,"Devi, Jahnavi","Guwahati, Jagaran Sahitya, 2018",2nd ed,NA,NA,222 p,Assamese Literature
"Surya kumar bhuyan : (life, science and perception)",9788120288058,"Gogoi, Prabin","Naharkatia, Katha Readers' forum, 2010",2nd ed,NA,NA,232 p,"Author, Assamese; Biography"
"Konmani rajkumari : (life, science and perception)",8187611340,"Burnett, Frances Hodgson; Devi, Hironmoyee","Guwahati, Saraighat Prakasan, 2013",2nd ed,NA,NA,107 p,Assamese fiction; Assamese literature
"Aluminiumar anguli aru anyanya : (life, science and perception)",9789382624073,"Goswami, Manoj Kumar","Guwahati, Bhabani, 2012",2nd ed,NA,NA,318 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
"Japani kabita : (life, science and perception)",817665258X,"Phukan, Neelamani","Guwahati, Student's Stores, 2005",3rd ed,NA,NA,157 p,Assamese literature; Assamese poetry
"Prithibir pathik : (life, science and perception)",8172061918,"Karmakar, Santosh Kumar","Guwahati, Bani Mandir, 2006",3rd ed,NA,NA,208 p,Assamese fiction; Assamese literature; Assamese novel
"Aitak moi kedare parhiboloi sikalo : (life, science and perception)",9789382624318,"Murty, Sudha","Guwahati, Bhabani, 2016",4th ed,NA,NA,132 p,"Assamese fiction; Assamese literature; Stories, Assamese"
"Siraw alaagee mor bhasha phedelee : (life, science and perception)",9788192548685,"Dutta, Deven; Dutta, Arundhatee","Guwahati, Unique Books, 2017",4th ed,NA,NA,400 p,Assamese articles; Assamese literature
"Breaking news : (life, science and perception)",9789381139981,"Saikia, Kula","Guwahati, Bhabani, 2014",4th ed,NA,NA,168 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
"Anya akashar chna : (life, science and perception)",9789381139981,"Saikia, Jyoti Pd","Dibrugarh, Banalata, 2007",4th ed,NA,NA,104 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
Sarita daxakar fachal : prabandha-samagra,8186494847,"Borgohain, Homen","Guwahati, Students Stores, 2014",3rd ed,NA,NA,579 p,"Assamese literature; Essays, Assamese"
Swa-nirbbachita upanyas-sambhar : prabandha-samagra,9789381485590,"Bora, Lakshmi Nandan","Guwahati, Jyoti Prakashan, 2013",3rd ed,NA,NA,1040 p,"Assamese fiction; Assamese literature; Novel, Assamese"
Ratna ojah rasanawali : volume 1,9789381485590,Bhadra Bora,"Guwahati, Publication Board Assam, 2012",3rd ed,NA,NA,782 p,Assamese literature; Rasanawali
Gora : volume 1,9789381064795,"Thakur, Rabindranath; Jelil, Meera","Guwahati, Bani mandir, 2014",3rd ed,NA,NA,376 p,assamese fiction; assamese literature; Bengali fiction; Bengali litarature
Sahitya jigyasa : volume 1,8173393303,"Gogoi, Pushpa; Hazarika, Jyotirekha","Dibrugarh, Banalata, 2001",1st ed,NA,NA,217 p,Assamese; Assamese; Poetical work
Sarbagunakar : volume 1,8173393303,"Mahanta, Nirupama","Guwahati, Bani Mandir, 2007",1st ed,NA,NA,232 p,Assamese literature; Assamese; Literature
Krishnakanta Handiqui : Men of letters series,9789384819026,"Goswami, Ashok Kumar","Dibrugarh, Dibrugarh University, 2015",1st ed,NA,NA,156 p,Assamese; Assamese; Assamese; Author
Chandrakumar Agarwala : Men of letters series,9789384819064,"Bormudoi, Ananda","Dibrugarh, Dibrugarh University, 2016",1st ed,NA,NA,110p,Assamese; Assamese; Assamese; Author
Terata dashakar asamiya ramya rachana : Men of letters series,9789384819064,"Bora, Bhadra; Kalita, Dasu","Jorhat, Asam Sahitya Sabha, 2017",1st ed,NA,NA,365 p,Assamese; Literature
Asamiya sahityat dristipat : Men of letters series,9789384819064,"Sarma, Hemanta Kumar","Guwahati, Bina Library, 2017",17th ed,NA,NA,359 p,Assamese Literature; Literature
Hanhi aru sakulor haihob : Men of letters series,9789384819064,"Ṭhongchi, Yeshe Doraje","Guwahati, Banalata, 2016",1st ed,NA,NA,298 pages,"Authors, Assamese"
Banditwa : Men of letters series,9788172131135,"Borgohain, Nirupama","Guwahati, PublicatioPurbanchal Prakash, 2008",2nd ed,NA,NA,79 p,"Assamese fiction; Assamese literature; Novel, Assamese"
Kumara harana kavya : Men of letters series,87055521452246,"Kandali, Ananta","Guwahati, Bani Prakash, 2010",5th ed,NA,NA,255 p,Assamese literature; Assamese poetry
Atitor ring : atmajivanimulak rachana,9788172131364,"Baruah, Binanda Chandra","Guwahati, Purbanchal Prakash, 2011",5th ed,NA,NA,184 pages,"Poets, Assamese"
Dimbeswar Neog rachanawali : volume II,9789384733223,"Saikia, Nagen","Guwahati, Publication Board Assam, 2015",5th ed,NA,NA,1270 p,Assamese literature; Miscellaneous writings
Bakulbanar kavi Anandachandra Baruah rachanavali : volume II,9789384733223,"Goswami, Basanta Kumar; Goswami, Sahityacharya Jatindranath","Guwahati, Surya Hazarika Educational Trust, 2007",5th ed,NA,NA,1160 p,Assamese literature; Miscellaneous writings
Bezbaroa rachanawali : volume II,9789384733223,"Bora, Nitya; Hujuri, Samindra","Guwahati, Publicatio Board Assam, 2014",5th ed,NA,NA,518 p,Assamese literature; Miscellaneous writings
Mitradev Mahanta rachanavalee,NA,"Bhattacharyya, Ajay Kr; Borthakur, Satyakam; Saikia, Nagen","Duliajan, Premananda Tust, 2012",NA,NA,NA,923 p,Assamese literature; Miscellaneous writings
Unmilita upaban,9789381064115,"Barkakoti, Deepak Kumar","Guwahati, Bani Mandir, 2011",NA,NA,NA,184 p,Assamese fiction; Assamese literature; Novel
Devasur aru dui jati,9788186384723,"Jana, Jyotirmay","Guwahati, Assam Publishing Company, 2014",NA,NA,NA,105 p,Assamese literature
Bharatar adhunik bigyan,9788186384723,"Mahanta, Paramananda","Guwahati, Publication Board Assam, 2007",NA,NA,NA,98 p,Assamese literature; Miscellaneous writings
Charaideo,817206153X,"Bhattacharya, Troilokya","Guwahati, Bani Mandir, 2009",2nd ed,NA,NA,151 p,"Assamese fiction; Assamese literature; Literature; Novel, Assamese"
Adhunik bharatiya sahitya,9789324405265,"Bharali, Sailen","Guwahati, Chandra Prakash, 2015",2nd ed,NA,NA,151 p,Assamese literature; Literature
Mangal yatra,8172063504,"Chakrabarty, Jayanta Kumar","Guwahati, Bani Mandir, 2007",2nd ed,NA,NA,142 p,"Assamese fiction; Assamese literature; Literature; Stories, Assamese"
Sahosi keptainsakol,8172063504,"Kipling, Rudyard; Saikia, Binoy Mohan","Guwahati, Saraighat Prakasan, 2013",2nd ed,NA,NA,79 p,Assamese fiction; Assamese literature
Hridayar manchitra,9788186384923,"Bargohain, Homen","Guwahati, Assam Publishing Company, 2012",2nd ed,NA,NA,104 p,Assamese Literature; Literature
Singha duar,8170262418,"Saikia, Prabina","Guwahati, Bani Mandir, 2005",2nd ed,NA,NA,215 p,Assamese literature
Chinta aru romanthan,8170262418,"Baruah, Sunil Pawan","Guwahati, Purbanchal Prakash, 2012",2nd ed,NA,NA,223 p,Assamese literature
Bisannyata,8176651397,"Bargohain, Homen","Guwahati, Students stores, 2016",6th ed,NA,NA,117 p,Assamese literature
Antony and Cleopatra,8176651397,"William Shakespeare; Mahanta, Pona","Jorhat, Assam Sahitya Sabha, 2001",6th ed,NA,NA,152 p,Assamese Literature; Literature
Bigyani Jagadish Chandra Basu aru teor nirbachit kixor rachana,9788186384503,"Phukan, Bandita","Guwahati, Assam Publishing Company, 2013",6th ed,NA,NA,70 p,Assamese literature
Akasar rang aru anyanya galpa,9788176654722,"Sarmah, Govinda Prashad","Guwahati, Students' Stores, 2013",6th ed,NA,NA,232 p,"Assamese fiction; Assamese literature; Stories, Assamese"
Asomiya bhasar moulik bichar aaru sahittyar chinaki,9788173313516,"Bharali, Debananda","Guwahati, Lawyars Book Stall, 2016",6th ed,NA,NA,223 p,Assamese language
Hridayar katha,9788186384626,"Buragohain, Nirupama","Guwahati, Assam Publishing Company, 2009",6th ed,NA,NA,130 p,Assamese Literature; Literature
Mamoni Roisom Goswamir galpa samagra,9788173394584,"Goswami, Mamoni Roisom","Guwahati, Banalata, 2011",6th ed,NA,NA,668 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
Asamiya lekhika : galpa 2010,9788173394584,"Sarma, Manashi; Senchowa, Bonti","Guwahati, Katha publications, 2011",6th ed,NA,NA,132 p,Assamese Literature; Literature
Kalpalokar kahani : galpa 2010,9788173394584,"Saikia, Bhabendra Nath","Guwahati, Jyoti Prakashan, 2015",6th ed,NA,NA,120p,Assamese; Assamese
Abha gardenerar abeli : galpa 2010,9788173394546,"Goswami, Mamani Rayasam","Guwahati, Banalata, 2012",2nd ed,NA,NA,248 p,"Assamese fiction; Assamese literature; Short stories, Assamese"
Dasarathir khoj : galpa 2010,9788173394546,"Goswami, Mamani Rayasam","Guwahati, Bani Prakash, 2008",3rd ed,NA,NA,215 p,"Assamese fiction; Assamese literature; Novel, Assamese"
Asamiya bhasa sahityar adhyayan : galpa 2010,9788172132750,"Gohain, Jyotimala","Guwahati, Purbanchal Prakash, 2016",3rd ed,NA,NA,16p,Assamese; Assamese
Byavaharik asamiya abhidhan : galpa 2010,789382149576,"Goswami, Basanta Kumar","Guwahati, Bani Mandir, 2013. ; 2014",3rd ed,NA,NA,544 p,Assamese; Dictionary
Birendra kumar Bhattarcharyya rachanawali : vol. - 1,9788189148140,"Bayan, Munin; Das, Shoneet Bijay","Guwahati, Katha Publication, 2013",3rd ed,NA,NA,832 p,Assamese literature; Rachanawali
Koch biharor itihas: an assamese translation of Khan choudhuri Amanatulla Ahmed' : vol. - 1,978 93 82624 19,"Sarmah; Sarma, Anjan","Guwahati, Bhabani books, 2014",3rd ed,NA,NA,517p;25cm,NA
Nabin Chandra Bardoloi Rachanavali : vol. - 1,978 93 82624 19,"Talukdar, Nanda","Guwahati, Publication Board Assam, 2003",2nd ed,NA,NA,402 p,Assamese literature; Assamese; Rachanavali
Sarbeswar Sarma kataki rachanawali : vol. - 1,978 93 82624 19,"Tamuly, Laxmi nath","Guwahati, Publication Board Assam, 2004",2nd ed,NA,NA,544 p,Assamese literature; Miscellaneous writings
Bishwalipir bhumika : vol. - 1,978 93 82624 19,"Das, Narayan","Guwahati, Bina Library, 2018",11th ed,NA,NA,318 p,Assamese literature
"Khoj: sangram,sahash aru prerana re udhbudha ek jiban (Assamese) : vol. - 1",97811234567143,Bijay sankar Sharma (Ed.),"Guwahati, Abhash, 2012",11th ed,NA,NA,190p;24cm,NA
Dharma darshan tatte jibon (assamese) : vol. - 1,97811234567142,"Ranganathananda, Swami","Kalkatta, Udbudhan Karjalaya, 2001",11th ed,NA,NA,80p;20cm,NA
chatra sakti (assamese) : vol. - 1,8180403912,"Sarbagananda, Swami","Kalkatta, Udbudhan karjalaya, 1990",11th ed,NA,NA,59p;22cm,NA
sanaton sanyoga (assamese) : vol. - 1,978112345671238,"Gosami, Sri Sri Dakhinpat Satradhikar","Guwahati, Sri Sri Dakhinpat satra santi ashram, 2012",11th ed,NA,NA,31p;20cm,NA
Amlabristi ( assamese short stories) : vol. - 1,978 93 81139 30,"Kakati, Sibananda","Guwahati, Bhabani Print & Publications, 2011",11th ed,NA,NA,114p;25cm,NA
Aktopasar hatura : vol. - 1,978938325215417,"Saikia, Daben","Sonitpur, Sristi prakas, 2015",11th ed,NA,NA,64 p,Assamese literature; Assamese poetry
Axomiya chalacchitrar san-pohar : vol. - 1,9789382726609,"Sarma, Apurba","Guwahati, Aank-Baak, 2014",11th ed,NA,NA,126 p,Assamese; Motion picture
Kavitar sabeeshes : vol. - 1,9789382726609,"Ullah, Emdad","Jorhat, Asam Sahitya Sabha, 2014",3rd ed,NA,NA,104 p,Assamese literature; Assamese; Poetry
Adhunik asamiya kavita : vol. - 1,9789324406200,"Kotoky, Chandra","Guwahati, Assam Sahitya Sabha, 2016",3rd ed,NA,NA,202 p,Assamese; Literature; Poetry
Maha aranya : vol. - 1,9789381069523,"Barua, Anuj","Guwahati, Aalibat, 2014",3rd ed,NA,NA,820 p,Assamese fiction; Assamese literature
Dibrugarh bishwabidyalayar Nandini : vol. - 1,8173394717,"Borgohain, Juri Borah","Guwahati, Banalata, 2014",6th ed,NA,NA,223p,Assamese fiction; Assamese novel; Assamese
Atonkar upatyaka :,8173394717,"Doyle, Arthur Conan; Bora, Bhuban Chandra","Guwahati, Saraighat Prakashan, 2011",1st ed,NA,NA,90p,Assamese; Assamese; Assamese
"Iswari, jakhmi aru anyanya :",9789324402318,"Goswami, Mamoni Raisom","Guwahati, Chandra Prakash, 2011",1st ed,NA,NA,223p,Assamese; Assamese; Novel
Chhadmaveshini :,9789324402318,"Wood, Henry; Das, Shanti Ram","Guwahati, Saraighat Prakashan, 2012",1st ed,NA,NA,259p,Assamese; Assamese; Assamese
Charir chohi :,9789324402318,"Doyles, Arthur Conan; Borah, B. C","Guwahati, Saraighat Prakashan, 2011",1st ed,NA,NA,135p,Assamese; Assamese; Assamese
Asamiya galpa-sankalan :,9789324402318,"Bargohain, Homen","Guwahati, Publication Board Assam, 2007",2nd ed,NA,NA,"V3, 342p",Assamese fiction; Assamese
Bilupta jagat :,9789324402318,"Doyal, Arthur Konan; Shah, Rayhan","Guwahati, Publication board, 2014",6th ed,NA,NA,271 p,Assamese literature; Assamese novel
Mur tukabohir pora :,9789324402318,"Bargihain, Homen; Choudhury, Jaya; Kuntal moni; Sarmah Bordoloi","Guwahati, Saraswati Prakashan, 2016",6th ed,NA,NA,268p,Assamese articles; Assamese
Avatari Krishna :,9789324402318,"Das, Bhumidhar","Guwahati, Bani Mandir, 2010",6th ed,NA,NA,288p,Assamese; Avatari Krishna; Vishnuism
Sourmar nandini :,9789382750789,"Saikia, Juri","Guwahati, Banalata, 2015",6th ed,NA,NA,282p,Assamese fiction; Assamese; Novel
Sahityar abhibyakti :,9788192588094,"Ahmed, M. Kamaluddin","Guwahati, Bandhav, 2014.; 2018",2nd ed,NA,NA,200 p,Assamese essays; Assamese
Kankhurar abjiyan 6,9789381139530,"Gangapadhyaya, Sunil; Sarmah, Kiran Ch","Guwahati, Bhabani Print & Publications, 2011",NA,NA,NA,"Vol.6, 246p",Assamese fiction; Assamese
Juktir pohorat somaj,9788186384541,"Chowdhury, Prasenjt; Deori, Indiwar","Guwahati, Asam Publishing Company, 2014",NA,NA,NA,256p,Assamese essays; Assamese
"Priyobondhur rahghara : sachao nahoi, michhao nohoi",9788186384541,"Saikia, Bhabendranath","Guwahati, Banalata, 2014",NA,NA,NA,39p,Assamese fiction; Assamese
"Pizir sapon : sachao nahoi, michhao nohoi",9788186384541,"Momaideo, Ashin","Dibrugarh, Banalata, 2003",2nd ed,NA,NA,56p,Assamese fiction; Assamese
"Hercules : sachao nahoi, michhao nohoi",8172061226,"Baruah, Dhirendra Nath","Guwahati, Bani Mandir, 2007",2nd ed,NA,NA,80p,Assamese; Assamese; Story
"Bharatiya Chinta : sachao nahoi, michhao nohoi",8172061226,"Gohain, Krishna","Guwahati, Publication Board Assam, 2015",9th ed,NA,NA,128 p,"Assamese literature; Assamese; Essays, Assamese"
"Huckelberry Finn : sachao nahoi, michhao nohoi",8172063213,"Twain, Mark; Goswami, Kumud","Guwahati, Bani Mandir, 2006",9th ed,NA,NA,55p,Assamese; Assamese; Novel
"Kripan burhar sadhu : sachao nahoi, michhao nohoi",8172063213,"Pathak, Phanidhar","Guwahati, Banalata, 2014",9th ed,NA,NA,48p,Assamese fiction; Assamese
"Bon bononir are are : sachao nahoi, michhao nohoi",8172063213,"Phukan, Mridusmita","Guwahati, Banalata, 2010",9th ed,NA,NA,64p,Assamese fiction; Assamese
"Lilawatir buddhi : sachao nahoi, michhao nohoi",8172063213,"Pathak, Phanidhar","Guwahati, Banalata, 2013",9th ed,NA,NA,72p,Assamese fiction; Assamese
"Tibbatar sadhu : sachao nahoi, michhao nohoi",8172063213,"Bora, Mukuta","Guwahati, Children's Literary Trust Assam, 2016",3rd ed,NA,NA,56p,Assamese; Assamese; Folk tale; Short-stories
"Swiskin, moi aru bahuto : sachao nahoi, michhao nohoi",8172063213,"Barkataki, Nishi","Guwahati, Publication Board Assam, 2020",5th ed,NA,NA,179 p,Assamese; Assamese; Novel
"Kaka deutar sadhu : sachao nahoi, michhao nohoi",8172063213,"Deka, Arup","Guwahati, Banalata, 2012",2nd ed,NA,NA,46p,Assamese fiction; Assamese; Tales
"Great Britainar sadhu : sachao nahoi, michhao nohoi",8172063213,"Sarma, Eliza","Guwahati, Children's Literary Trust, 2011",2nd ed,NA,NA,142p,Assamese fiction; Assamese; Tales
"Gopi gayan bagha bayan : sachao nahoi, michhao nohoi",8172063213,"Raychoudhury, Upendra Kishor","Guwahati, Banalata, 2014",2nd ed,NA,NA,48p,Assamese fiction; Assamese; Tales
"Nirbachita prawandha sankalan : sachao nahoi, michhao nohoi",8172063213,"Patnaik, Janaki Ballabh; Rawat, Jatshna","Jorhat, Asam Sahitya Sabha, 2012",1st ed,NA,NA,"xii, 202p",Assamese; Assamese; Essays
"Deshi bideshi sadhukotha : sachao nahoi, michhao nohoi",8172063213,"Bora, Chandra Kanta","Guwahati, Assam Children's Trust, 2016",3rd ed,NA,NA,104p,Assamese fiction; Assamese
"Rong birangee sadhu : sachao nahoi, michhao nohoi",8172063213,"Baruah, Reena","Jorhat, Shubhrajyoti Prakashan, 2012",2nd ed,NA,NA,40p,Assamese; Short stories
"Sonar pahar aru anyanya sadhu : sachao nahoi, michhao nohoi",8172063213,"Dutta, Dibyalata","Guwahati, Purbanchal Prakash, 2012",2nd ed,NA,NA,52p,Assamese fiction; Assamese; Tales
"Sundrarpurar gaurav : sachao nahoi, michhao nohoi",8172063213,"Phukan, Bandita","Guwahati, Children's Literary Trust, 2010",2nd ed,NA,NA,22p,Assamese fiction; Assamese
"Chakradhaws Singha : sachao nahoi, michhao nohoi",8172062139,"Bezbarua, Laxminath; Nath, Prafulla Kumar","Guwahati, Bani Mandir, 2004",1st ed,NA,NA,101p,Assamese; Assamese; Drama; Historical drama
"Ritur adipath : sachao nahoi, michhao nohoi",8172062139,"Sarma, Dipil Kumar","Guwahati, Publication Board Assam, 2012",1st ed,NA,NA,26p,Assamese; Assamese; Children Book
"Lachit Borphukan : sachao nahoi, michhao nohoi",9788172060076,"Phukan, Prabin","Tezpur, Bani Mandir",1st ed,NA,NA,88p,Assamese; Assamese; Drama
Mukuta mala : sadhur majere niti gyan,9788172060076,"Devi, Bhanu","Guwahati, Children's Literary Trust, 2013",1st ed,NA,NA,50p,Assamese; Assamese; Moral story; Story
Nitikathar sadhu : sadhur majere niti gyan,9789351217558,"Baruah, Abhijit Sarma","Guwahati, R. G. Publications",1st ed,NA,NA,88p,Assamese; Assamese; Moral story; Story
Duranir sadhu : sadhur majere niti gyan,8172063146,"Hazarika, Manasmrita","Guwahati, Bani Mandir, 2006",1st ed,NA,NA,62p,Assamese; Stories
Jiwan jiwan bar anupam : sadhur majere niti gyan,978938485255,"Bordoloi, Nirmal Prabha","Guwahati, Jyoti prakashan, 2015",6th ed,NA,NA,426p,"Autobiography; Poets, Assamese"
Madhuchandrikar nishatu : sadhur majere niti gyan,9788172064459,"Maupassant, Guy De; Thanku, Manabendra Nath","Guwahati, Bani Mandir, 2009",6th ed,NA,NA,208p,"Assamese literature; Short stories; Short stories, Assamese"
Aulingor Jui : sadhur majere niti gyan,9788193146828,"Mahanta, Anurag","Guwahati, The Pangea House, 2015",3rd ed,NA,NA,223p,Assamese fiction; Assamese literature
Amrita Pratimar galpa : sadhur majere niti gyan,9788172133085,"Gogoi, Aparajita","Guwahati, Purbanchal Prakash, 2016",3rd ed,NA,NA,95p,"Assamese literature; Short stories, Assamese"
Kalagnee : a historical novel,9788186385982,"Bora, Rumi Laskar","Guwahati, Assam Publishing Company, 2017",2nd ed,NA,NA,470p,Assamese fiction; Assamese literature; Historical fiction
Deou Langkhui : a historical novel,9788192006123,"Choudhury, Rita","Guwahati, Jyoti Prakashan, 2017",12th ed,NA,NA,400p,Assamese fiction; Assamese literature
Asomiya galpa sankalan : a historical novel,9788192006123,"Bargohain, Homen","Guwahati, Publication Board Assam, 2014",4th ed,NA,NA,"2v., 438p","Assamese literature; Short stories, Assamese"
Ganga chilanir pakhi : a historical novel,9789381485071,"Bora, Lakhsmi Nandan","Guwahati, Jyoti Prakashan, 2017",4th ed,NA,NA,134p,Assamese fiction; Assamese literature
Neelkanthi braja : a historical novel,9788124401705,"Goswami, Mamoni Raisom","Guwahati, Chandra Prakash, 2011",4th ed,NA,NA,128p,Assamese fiction; Assamese literature
Beli mar gol : a historical novel,9789382750611,"Gogoi, Lila","Dibrugarh, Banalata, 2017",4th ed,NA,NA,216p,Assamese essays; Assamese literature
Maramar deuta : a historical novel,9788186384930,"Kafka, Franz; Laskar, Indrani","Guwahati, Assam Publishing Co, 2011",4th ed,NA,NA,88p,Assamese literature; Short stories
Leo Tolstoy - Twelve stories : a historical novel,9788192000077,"Deka, Parag Kumar","Guwahati, Orchid Publication, 2011",4th ed,NA,NA,120p,Assamese literature; Short stories
Moi bhalpoa bikhoibor : songbad aru sangbadikota,9789387263970,"Rehman, Teresa; Barua, Banya","Guwahati, Purbayon Publication, 2018",4th ed,NA,NA,121p,Assamese articles; Assamese literature
Ekatmata : songbad aru sangbadikota,9789387263970,"Barua, Manjula Boro","Lanka, Chandana Enterprise, 2017",4th ed,NA,NA,70p,Assamese literature; Assamese
Kocharethi : the araya women,9789351053576,"Narayan; Dutta, Juri","Guwahati, Kasturi Prakashan, 2018",4th ed,NA,NA,272p,Assamese fiction; Assamese literature
Ibsenar natya pratibha : the araya women,9789351053576,"Bhattacharyya, Tarinikanta","Guwahati, Publication Board Assam, 2015",3rd ed,NA,NA,242 p,Assamese; Biography; Biography
Jangam : the araya women,9789351053576,"Acharyya, Debendra Nath","Guwahati, Assam Prakashan Parishad, 2014",5th ed,NA,NA,199p,Assamese literature; Assamese; Novel
Bijnan aru bijnani : Kurir para ekoish satikaloi,9788173312137,"Choudhury, Dilip Kumar","Guwahati, LBS Publications, 2015",5th ed,NA,NA,100 p,Assamese Science; Assamese; Science GK
Sadharan gyan aru poribekh : Kurir para ekoish satikaloi,9788173312137,"Nath, Sukumar","Guwahati, Banalata, 2016",1st ed,NA,NA,56p,Assamese GK; Assamese; Environmental Science; General Knowledge
Asomiya byakaran avidhan : Kurir para ekoish satikaloi,9788186384640,"Barman, Shivanath","Guwahati, Publication board of Assam, 2014",1st ed,NA,NA,143p,Assamese; Assamese
Mahatlokar lorali kaal : Kurir para ekoish satikaloi,978817331098X,"Dutta, Nilima","Guwahati, LBS Publications, 2015",1st ed,NA,NA,74p,Assamese; Biography; Biography
Beer Chilarai : Kurir para ekoish satikaloi,978817331098X,"Barua, Abhijit Sharma","Guwahati, R. G. Publications, 2016",2nd ed,NA,NA,84 p,Assam history; Assam worrior; Assamese; History
Bihagi Kabi Raghunath Chowdhary : Kurir para ekoish satikaloi,978817331098X,"Hussain, Nikumani","Guwahati, Subhrajyoti Prakashan, 2016",2nd ed,NA,NA,48 p,assamese poet; Assamese; Biography- Assamese; Biography
Kiyo hoi? : (Why dies it happen?),8172060866,"Medhi, Ramendra","Guwahati, Bani mandir, 2001",1st ed,NA,NA,80 p,Assamese literature; Assamese; Science; Scientific reasoning
Priyobondhur chitro kahini,NA,"Saikia, Bhabendranath","Guwahati, Banlata, 2013",1st ed,NA,NA,63p,Assamese; Assamese; Chitro kahini; Short story
